,State,Type,Name,Office,Party,Status,Incumbent,Election_Status,Election
43,Alabama,Unknown,Melissa Snowden,Alabama State Board of Education District 3,Republican,LostPrimary,N,Lost,Primary
44,Alabama,Unknown,Tonya Smith Chestnut,Alabama State Board of Education District 5,Democratic,On the BallotGeneral,Y,On the Ballot,General
45,Alabama,Unknown,David Perry,Alabama State Board of Education District 5,Republican,On the BallotGeneral,N,On the Ballot,General
46,Alabama,Unknown,Allen Long,Alabama State Board of Education District 7,Republican,On the BallotGeneral,N,On the Ballot,General
47,Alabama,Unknown,Doug Bachuss,Alabama State Board of Education District 7,Republican,LostPrimary,N,Lost,Primary
48,Alabama,Unknown,Oscar Mann,Alabama State Board of Education District 7,Republican,LostPrimary,N,Lost,Primary
49,Alabama,Unknown,Wes Kitchens,Alabama State Senate District 9(Special election),Republican,WonPrimary,N,Won,Primary
50,Alabama,Unknown,Brock Colvin,Alabama State Senate District 9(Special election),Republican,LostPrimary,N,Lost,Primary
51,Alabama,Unknown,Stacy George,Alabama State Senate District 9(Special election),Republican,LostPrimary,N,Lost,Primary
52,Alabama,Unknown,Marilyn Lands,Alabama House of Representatives District 10(Special election),Democratic,WonGeneral,N,Won,General
53,Alabama,Unknown,Teddy Powell,Alabama House of Representatives District 10(Special election),Republican,LostGeneral,N,Lost,General
54,Alabama,Unknown,Bryan Brinyark,Alabama House of Representatives District 16(Special election),Republican,WonGeneral,N,Won,General
55,Alabama,Unknown,Brad Cox,Alabama House of Representatives District 16(Special election),Republican,LostPrimary Runoff,N,Lost,Primary Runoff
56,Alabama,Unknown,Greg Fanin,Alabama House of Representatives District 16(Special election),Republican,LostPrimary,N,Lost,Primary
57,Alabama,Unknown,Floyd Rodgers Jr.,Alabama House of Representatives District 16(Special election),Republican,LostPrimary,N,Lost,Primary
58,Alabama,Unknown,Mike Simpson,Alabama House of Representatives District 16(Special election),Republican,LostPrimary,N,Lost,Primary
59,Alabama,Unknown,John Underwood,Alabama House of Representatives District 16(Special election),Democratic,LostGeneral,N,Lost,General
60,Alabama,Unknown,Stacy George,Alabama House of Representatives District 27(Special election),Republican,On the BallotPrimary,N,On the Ballot,Primary
61,Alabama,Unknown,Bill Hancock,Alabama House of Representatives District 27(Special election),Republican,On the BallotPrimary,N,On the Ballot,Primary
62,Alabama,Unknown,Alan Miller,Alabama House of Representatives District 27(Special election),Republican,On the BallotPrimary,N,On the Ballot,Primary
63,Alabama,Unknown,Jeana Ross,Alabama House of Representatives District 27(Special election),Republican,On the BallotPrimary,N,On the Ballot,Primary
64,Alabama,Unknown,Bill Stricklend,Alabama House of Representatives District 27(Special election),Republican,On the BallotPrimary,N,On the Ballot,Primary
65,Alabama,Unknown,Billy Todd,Alabama House of Representatives District 27(Special election),Republican,On the BallotPrimary,N,On the Ballot,Primary
66,Alabama,Unknown,Sarah Stewart,Alabama Supreme Court Chief Justice,Republican,On the BallotGeneral,N,On the Ballot,General
67,Alabama,Unknown,Greg Griffin,Alabama Supreme Court Chief Justice,Democratic,On the BallotGeneral,N,On the Ballot,General
68,Alabama,Unknown,Bryan Taylor,Alabama Supreme Court Chief Justice,Republican,LostPrimary,N,Lost,Primary
69,Alabama,Unknown,Jay Mitchell,Alabama Supreme Court,Republican,On the BallotGeneral,Y,On the Ballot,General
70,Alabama,Unknown,Chris McCool,Alabama Supreme Court,Republican,On the BallotGeneral,N,On the Ballot,General
71,Alabama,Unknown,William Sellers,Alabama Supreme Court,Republican,On the BallotGeneral,Y,On the Ballot,General
72,Alabama,Unknown,Tommy Bryan,Alabama Supreme Court,Republican,On the BallotGeneral,Y,On the Ballot,General
73,Alabama,Unknown,Chad Hanson,Alabama Court of Civil Appeals,Republican,On the BallotGeneral,Y,On the Ballot,General
74,Alabama,Unknown,Stephen Davis Parker,Alabama Court of Civil Appeals,Republican,LostPrimary,N,Lost,Primary
75,Alabama,Unknown,Christy Olinger Edwards,Alabama Court of Civil Appeals,Republican,On the BallotGeneral,Y,On the Ballot,General
76,Alabama,Unknown,Terry A. Moore,Alabama Court of Civil Appeals,Republican,On the BallotGeneral,Y,On the Ballot,General
77,Alabama,Unknown,J. William Cole,Alabama Court of Criminal Appeals,Republican,On the BallotGeneral,Y,On the Ballot,General
78,Alabama,Unknown,Rich Anderson,Alabama Court of Criminal Appeals,Republican,On the BallotGeneral,N,On the Ballot,General
79,Alabama,Unknown,Thomas Govan,Alabama Court of Criminal Appeals,Republican,LostPrimary,N,Lost,Primary
80,Alabama,Unknown,Richard Minor,Alabama Court of Criminal Appeals,Republican,On the BallotGeneral,Y,On the Ballot,General
81,Alabama,Local,Jackie Anderson-Smith,Jefferson County Circuit Clerk,Democratic,On the BallotGeneral,Y,On the Ballot,General
82,Alabama,Local,Sarah Conkle,Jefferson County Circuit Clerk,Democratic,LostPrimary,N,Lost,Primary
83,Alabama,Local,Angela Webb Weinberg,Jefferson County Treasurer,Democratic,On the BallotGeneral,N,On the Ballot,General
84,Alabama,Local,Rod Honeycutt,Jefferson County Constable District 15,Republican,On the BallotPrimary,Y,On the Ballot,Primary
85,Alabama,Local,Larry Woods,Jefferson County Constable District 15,Republican,On the BallotPrimary,N,On the Ballot,Primary
86,Alabama,Local,Joe Williams,Jefferson County Constable District 16,Republican,On the BallotGeneral,Y,On the Ballot,General
87,Alabama,Local,Stephen Moseley,Jefferson County Constable District 44,Republican,On the BallotGeneral,Y,On the Ballot,General
88,Alabama,Local,Tim Anders,Jefferson County Constable District 45,Republican,On the BallotGeneral,Y,On the Ballot,General
89,Alabama,Local,Keith Hall,Jefferson County Constable District 46,Republican,On the BallotGeneral,N,On the Ballot,General
90,Alabama,Local,Gilbert Douglas III,Jefferson County Constable District 47,Republican,On the BallotGeneral,Y,On the Ballot,General
91,Alabama,Local,Robert De Buys,Jefferson County Constable District 48,Republican,On the BallotGeneral,N,On the Ballot,General
92,Alabama,Local,Ronnie Dixon,Jefferson County Constable District 51,Republican,On the BallotGeneral,Y,On the Ballot,General
93,Alabama,Local,Andre Bennett,Jefferson County Constable District 51,Democratic,On the BallotGeneral,N,On the Ballot,General
94,Alabama,Local,Valencia Moore,Jefferson County Constable District 52,Democratic,On the BallotPrimary Runoff,Y,On the Ballot,Primary Runoff
95,Alabama,Local,Richmond Williams,Jefferson County Constable District 52,Democratic,On the BallotPrimary Runoff,N,On the Ballot,Primary Runoff
96,Alabama,Local,Brian Lacey,Jefferson County Constable District 52,Democratic,LostPrimary,N,Lost,Primary
97,Alabama,Local,Demetri Williams,Jefferson County Constable District 52,Democratic,LostPrimary,N,Lost,Primary
98,Alabama,Local,Jeremy Howard,Jefferson County Constable District 54,Democratic,On the BallotGeneral,N,On the Ballot,General
99,Alabama,Local,Ken Gray Sr.,Jefferson County Constable District 55,Republican,On the BallotGeneral,N,On the Ballot,General
100,Alabama,Local,Travlyn Mosely,Jefferson County Constable District 55,Democratic,On the BallotPrimary,N,On the Ballot,Primary
101,Alabama,Local,Joshua Raby,Jefferson County Constable District 55,Democratic,On the BallotPrimary,N,On the Ballot,Primary
102,Alabama,Local,Cheryl Hamilton Long,Jefferson County Constable District 56,Democratic,On the BallotGeneral,N,On the Ballot,General
103,Alabama,Local,Lanita Neal,Jefferson County Constable District 56,Democratic,LostPrimary,N,Lost,Primary
104,Alabama,Local,Abdul Alwahiid,Jefferson County Constable District 57,Democratic,On the BallotGeneral,N,On the Ballot,General
105,Alabama,Local,Eric Moore,Jefferson County Constable District 57,Democratic,LostPrimary,N,Lost,Primary
106,Alabama,Local,Jasmaine Deloach,Jefferson County Constable District 58,Democratic,On the BallotGeneral,N,On the Ballot,General
107,Alabama,Local,Frederick Burkes,Jefferson County Constable District 58,Democratic,LostPrimary,Y,Lost,Primary
108,Alabama,Local,Caleb Florence Sr.,Jefferson County Constable District 58,Democratic,LostPrimary,N,Lost,Primary
109,Alabama,Local,Colvin Sellers,Jefferson County Constable District 58,Democratic,LostPrimary,N,Lost,Primary
110,Alabama,Local,James Franklin,Jefferson County Constable District 59,Democratic,On the BallotGeneral,N,On the Ballot,General
111,Alabama,Local,Wanda Bryant,Jefferson County Constable District 60,Democratic,On the BallotPrimary Runoff,Y,On the Ballot,Primary Runoff
112,Alabama,Local,Leo Taylor Jr.,Jefferson County Constable District 60,Democratic,On the BallotPrimary Runoff,N,On the Ballot,Primary Runoff
113,Alabama,Local,Vic Langford,Jefferson County Constable District 60,Democratic,LostPrimary,N,Lost,Primary
114,Alabama,Local,Lonnie Parsons,Mobile County Public School System District 1,Republican,On the BallotGeneral,N,On the Ballot,General
115,Alabama,Local,Grant Morring,Mobile County Public School System District 1,Republican,LostPrimary,N,Lost,Primary
116,Alabama,Local,Don Stringfellow,Mobile County Public School System District 2,Republican,On the BallotGeneral,Y,On the Ballot,General
117,Alabama,Local,Phillip Brown,"Jefferson County School District, District 1",Republican,On the BallotGeneral,N,On the Ballot,General
118,Alabama,Local,Walt Curry,"Jefferson County School District, District 1",Democratic,On the BallotGeneral,N,On the Ballot,General
119,Alabama,Local,Robert Durough,"Jefferson County School District, District 2",Republican,On the BallotGeneral,N,On the Ballot,General
120,Alabama,Local,Sultana Godwin,"Jefferson County School District, District 2",Democratic,On the BallotGeneral,N,On the Ballot,General
121,Alabama,Local,David Carpenter,Alabama 10th Judicial Circuit Place 5,Democratic,On the BallotGeneral,Y,On the Ballot,General
122,Alabama,Local,Minnie Tunstall,Alabama 10th Judicial Circuit Place 5,Democratic,LostPrimary,N,Lost,Primary
123,Alabama,Local,Charles Price II,Alabama 10th Judicial Circuit Place 6,Democratic,On the BallotGeneral,N,On the Ballot,General
124,Alabama,Local,Tiara Hudson,Alabama 10th Judicial Circuit Place 7,Democratic,On the BallotGeneral,N,On the Ballot,General
125,Alabama,Local,Marshell Jackson Hatcher,Alabama 10th Judicial Circuit Place 8,Democratic,On the BallotGeneral,Y,On the Ballot,General
126,Alabama,Local,Shera Craig Grant,Alabama 10th Judicial Circuit Place 9,Democratic,On the BallotGeneral,N,On the Ballot,General
127,Alabama,Local,Doug Roy,Alabama 10th Judicial Circuit Place 13,Republican,On the BallotGeneral,N,On the Ballot,General
128,Alabama,Local,Frederic Bolling,Alabama 10th Judicial Circuit Place 13,Democratic,On the BallotPrimary,N,On the Ballot,Primary
129,Alabama,Local,Charity Gilchrist-Davis,Alabama 10th Judicial Circuit Place 13,Democratic,On the BallotPrimary,N,On the Ballot,Primary
130,Alabama,Local,Patricia Ann Stephens,Alabama 10th Judicial Circuit Place 15,Democratic,On the BallotGeneral,Y,On the Ballot,General
131,Alabama,Local,Janine Hunt-Hilliard,Alabama 10th Judicial Circuit Place 18,Democratic,On the BallotGeneral,Y,On the Ballot,General
132,Alabama,Local,Alaric May,Alabama 10th Judicial Circuit Place 27,Democratic,On the BallotGeneral,Y,On the Ballot,General
133,Alabama,Local,Pamela Wilson Cousins,Jefferson County District Court Place 3,Democratic,On the BallotPrimary Runoff,Y,On the Ballot,Primary Runoff
134,Alabama,Local,Jacquelyn Grant-Jones,Jefferson County District Court Place 3,Democratic,On the BallotPrimary Runoff,N,On the Ballot,Primary Runoff
135,Alabama,Local,Lakitia Hall-Wright,Jefferson County District Court Place 3,Democratic,LostPrimary,N,Lost,Primary
136,Alabama,Local,Tanita Cain,Jefferson County District Court Place 6,Democratic,On the BallotGeneral,N,On the Ballot,General
137,Alabama,Local,Alan Summers,Jefferson County District Court Place 8,Democratic,On the BallotGeneral,Y,On the Ballot,General
138,Alabama,Local,Debra Weston-Pickens,Jefferson County District Court Place 9,Democratic,On the BallotGeneral,Y,On the Ballot,General
139,Alabama,Local,Jill Ganus,Jefferson County District Court Place 11,Republican,On the BallotGeneral,N,On the Ballot,General
140,Alabama,Local,Chuantae Brown,Jefferson County District Court Place 11,Democratic,On the BallotGeneral,N,On the Ballot,General
141,Alabama,Local,Hope Marshall,Jefferson County District Court Place 11,Democratic,LostPrimary,N,Lost,Primary
142,Alabama,Local,Stephanie Hunter,Jefferson County District Court Place 12,Democratic,On the BallotGeneral,N,On the Ballot,General
143,Alabama,Local,Joel Blankenship,Jefferson County Probate Court,Republican,On the BallotGeneral,N,On the Ballot,General
144,Alabama,Local,Jameria Moore,Jefferson County Probate Court,Democratic,On the BallotGeneral,N,On the Ballot,General
145,Alabama,Local,John Amari,Jefferson County Probate Court,Republican,On the BallotGeneral,N,On the Ballot,General
146,Alabama,Local,Yashiba Blanchard,Jefferson County Probate Court,Democratic,On the BallotPrimary Runoff,N,On the Ballot,Primary Runoff
147,Alabama,Local,Yawanna McDonald,Jefferson County Probate Court,Democratic,On the BallotPrimary Runoff,N,On the Ballot,Primary Runoff
148,Alabama,Local,Lee Loder,Jefferson County Probate Court,Democratic,LostPrimary,N,Lost,Primary
149,Alabama,Local,Joi Travis,Jefferson County Probate Court,Democratic,LostPrimary,N,Lost,Primary
150,Alabama,Local,Everett W. Wess,Jefferson County Probate Court,Democratic,LostPrimary,N,Lost,Primary
151,Alaska,Federal,Mary Peltola,U.S. House Alaska At-large District,Democratic,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
152,Alaska,Federal,Nicholas Begich,U.S. House Alaska At-large District,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
153,Alaska,Federal,Nancy Dahlstrom,U.S. House Alaska At-large District,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
154,Alaska,Unknown,Jared Goecker,Alaska State Senate District L,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
155,Alaska,Unknown,Robb Arnold,Alaska House of Representatives District 1,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
156,Alaska,Unknown,Jeremy Bynum,Alaska House of Representatives District 1,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
157,Alaska,Local,David Bronson,Mayor of Anchorage,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
158,Alaska,Local,Darin Colbry,Mayor of Anchorage,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
159,Alaska,Local,Breck Craig,Mayor of Anchorage,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
160,Alaska,Local,Nick Danger,Mayor of Anchorage,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
161,Alaska,Local,Dustin Darden,Mayor of Anchorage,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
162,Alaska,Local,Jenny Di Grappa,Mayor of Anchorage,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
163,Alaska,Local,Phil Isley,Mayor of Anchorage,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
164,Alaska,Local,Suzanne LaFrance,Mayor of Anchorage,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
165,Alaska,Local,Bill Popp,Mayor of Anchorage,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
166,Alaska,Local,Chris Tuck,Mayor of Anchorage,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
167,Alaska,Local,Mark Littlefield,Anchorage Assembly District 2 Seat A(Special election),Nonpartisan,On the BallotGeneral,N,On the Ballot,General
168,Alaska,Local,Bill Ennis,Bear Valley LRSA Seat C,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
169,Alaska,Local,Robert Schoff,Birchtree-Elmore LRSA Seat B,Nonpartisan,On the Ballot(Write-in)General,N,On the Ballot(Write-in)General,NA
170,Alaska,Local,Luke Sherman,Birchtree-Elmore LRSA Seat B,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
171,Alaska,Local,Kelsie Sullivan,Chugiak Fire Service Area Seat B,Nonpartisan,On the Ballot(Write-in)General,N,On the Ballot(Write-in)General,NA
172,Alaska,Local,Jennifer Wingard,Girdwood Valley Service Area Seat A,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
173,Alaska,Local,Brian Burnett,Girdwood Valley Service Area Seat B,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
174,Alaska,Local,Joseph Connolly,Glen Alps Service Area Seat E,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
175,Alaska,Local,John Lau,Lakehill LRSA Seat B,Nonpartisan,On the Ballot(Write-in)General,Y,On the Ballot(Write-in)General,NA
176,Alaska,Local,Garrett Harvey,Mt. Park-Robin Hill RRSA Seat A,Nonpartisan,On the Ballot(Write-in)General,N,On the Ballot(Write-in)General,NA
177,Alaska,Local,Thomas Bassler,Mt. Park-Robin Hill RRSA Seat B,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
178,Alaska,Local,Heather Percy,Mt. Park Estates LRSA Seat A,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
179,Alaska,Local,David Lipps,Rabbit Creek View and Rabbit Creek Heights LRSA Seat A,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
180,Alaska,Local,Shawn Dooley,SRW Homeowners' LRSA Seat A,Nonpartisan,On the Ballot(Write-in)General,Y,On the Ballot(Write-in)General,NA
181,Alaska,Local,Eric Johnson,Section 6-Campbell Airstrip LRSA Seat B,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
182,Alaska,Local,Jack Walker,Section 6-Campbell Airstrip LRSA Seat C,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
183,Alaska,Local,Joseph Kurtak,Skyranch Estates LRSA Seat A,Nonpartisan,On the Ballot(Write-in)General,Y,On the Ballot(Write-in)General,NA
184,Alaska,Local,Tim Culhane,South Goldenview RRSA Seat B,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
185,Alaska,Local,Marty Lemon,South Goldenview RRSA Seat C,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
186,Alaska,Local,Tony Winsor,Talus West LRSA Seat B,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
187,Alaska,Local,Pamela Giammalva,Totem LRSA Seat C,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
188,Alaska,Local,Patrice Higgins,Totem LRSA Seat C,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
189,Alaska,Local,Jim Cottrell,Upper Grover LRSA Seat A,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
190,Alaska,Local,Drew Loeffler,Valli Vue LRSA Seat A,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
191,Alaska,Local,Diane Sallee,Valli Vue LRSA Seat D,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
192,Alaska,Local,Pat Higgins,Anchorage School District Board of Education Seat E,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
193,Alaska,Local,Kay Schuster,Anchorage School District Board of Education Seat E,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
194,Alaska,Local,Dora Wilson,Anchorage School District Board of Education Seat F,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
195,Alaska,Local,Angela Frank,Anchorage School District Board of Education Seat F,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
196,Alaska,Local,Carl Jacobs,Anchorage School District Board of Education Seat G,Nonpartisan,On the BallotGeneral,Y,On the Ballot,General
197,Alaska,Local,Chelsea Pohland,Anchorage School District Board of Education Seat G,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
198,Alaska,Local,Kristy Hoffman,Homestead Service Area Seat C,Nonpartisan,On the BallotGeneral,N,On the Ballot,General
199,Arizona,Federal,Christopher Berschauer,U.S. Senate Arizona,Republican,Candidacy Declared(unofficially withdrew)Primary,N,Candidacy Declared(unofficially withdrew)Primary,NA
200,Arizona,Federal,Leonard Fulcher,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
201,Arizona,Federal,Kari Lake,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
202,Arizona,Federal,Mark Lamb,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
203,Arizona,Federal,Connie Moreno,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
204,Arizona,Federal,Elizabeth Reye,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
205,Arizona,Federal,Robert Walker,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
206,Arizona,Federal,Alan White,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
207,Arizona,Federal,Brian Wright,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
208,Arizona,Federal,Ruben Gallego,U.S. Senate Arizona,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
209,Arizona,Federal,Alexander Keller,U.S. Senate Arizona,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
210,Arizona,Federal,Mike Norton,U.S. Senate Arizona,Green,Candidacy DeclaredGeneral,N,Candidacy Declared,General
211,Arizona,Federal,Sarah Williams,U.S. Senate Arizona,Libertarian,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
212,Arizona,Federal,Richard Grayson,U.S. Senate Arizona,No Party Affiliation,Candidacy DeclaredGeneral,N,Candidacy Declared,General
213,Arizona,Federal,David Schweikert,U.S. House Arizona District 1,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
214,Arizona,Federal,Paul Burton,U.S. House Arizona District 1,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
215,Arizona,Federal,Kimberly George,U.S. House Arizona District 1,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
216,Arizona,Federal,Reina Patocs,U.S. House Arizona District 1,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
217,Arizona,Federal,Andrei Cherny,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
218,Arizona,Federal,Marlene Galan-Woods,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
219,Arizona,Federal,Robert Glasgow,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
220,Arizona,Federal,Andrew Horne,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
221,Arizona,Federal,Kurt Kroemer,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
222,Arizona,Federal,Melissa Lamore,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
223,Arizona,Federal,Cody Newman,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
224,Arizona,Federal,Conor O'Callaghan,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
